B,p10,Mint,Mniint,max_LC,skew,CV_LC,mad,aslope,bslope,median,time
3,0.2,0.4,0.1,1.4946e+45,6.255,1.7257,1.81e+44,-9.8945e+43,1.9918e+44,4.5685e+43,6.93
3,0.2,0.4,0.3,1.5679e+45,6.49,1.7542,1.8572e+44,-1.0761e+44,2.0799e+44,4.5584e+43,6.93
3,0.2,0.4,0.4,1.6021e+45,6.6002,1.7672,1.8784e+44,-1.0789e+44,2.2976e+44,4.5541e+43,6.435
3,0.2,0.4,0.5,1.6365e+45,6.7056,1.7795,1.8984e+44,-1.1195e+44,2.3424e+44,4.5503e+43,6.435
3,0.2,0.4,0.6,1.6691e+45,6.8063,1.7911,1.9173e+44,-1.1579e+44,2.3844e+44,4.547e+43,6.435
3,0.2,0.4,0.8,1.7291e+45,6.9952,1.8124,1.9521e+44,-1.2286e+44,2.4606e+44,4.5412e+43,6.435
3,0.2,0.5,0.1,1.2194e+45,5.2895,1.6038,1.6327e+44,-7.1766e+43,1.4367e+44,4.645e+43,7.92
3,0.2,0.5,0.3,1.2817e+45,5.4973,1.6321,1.6797e+44,-7.9185e+43,1.5046e+44,4.6311e+43,7.92
3,0.2,0.5,0.4,1.3121e+45,5.5948,1.6451,1.701e+44,-7.9364e+43,1.6477e+44,4.6253e+43,7.425
3,0.2,0.5,0.5,1.3412e+45,5.6883,1.6574,1.7211e+44,-8.2837e+43,1.6816e+44,4.6201e+43,7.425
3,0.2,0.5,0.6,1.3688e+45,5.7779,1.669,1.7401e+44,-8.6142e+43,1.7135e+44,4.6155e+43,7.425
3,0.2,0.5,0.8,1.4199e+45,5.9463,1.6904,1.7753e+44,-9.2281e+43,1.7719e+44,4.6077e+43,7.425
3,0.2,1,0.1,6.2311e+44,3.0347,1.233,1.0965e+44,-2.0943e+43,4.9973e+43,5.0813e+43,11.88
3,0.2,1,0.3,6.595e+44,3.1688,1.2609,1.1448e+44,-2.2848e+43,5.5199e+43,5.0144e+43,11.385
3,0.2,1,0.4,6.7706e+44,3.2324,1.2737,1.1668e+44,-2.4553e+43,5.6624e+43,4.9874e+43,11.385
3,0.2,1,0.5,6.9386e+44,3.2935,1.2858,1.1876e+44,-2.6222e+43,5.7984e+43,4.9638e+43,11.385
3,0.2,1,0.6,7.1007e+44,3.3524,1.2973,1.2073e+44,-2.6089e+43,6.2118e+43,4.943e+43,10.89
3,0.2,1,0.8,7.4164e+44,3.4641,1.3187,1.2439e+44,-2.9273e+43,6.4789e+43,4.9082e+43,10.89
3,0.2,2,0.1,3.0203e+44,1.7792,0.87222,4.3156e+43,-4.5834e+42,1.6326e+43,7.4686e+43,17.82
3,0.2,2,0.3,3.215e+44,1.8448,0.90012,4.7726e+43,-5.2912e+42,1.7874e+43,7.363e+43,17.325
3,0.2,2,0.4,3.3091e+44,1.8774,0.91291,5.0808e+43,-5.8751e+42,1.839e+43,7.2205e+43,17.325
3,0.2,2,0.5,3.4009e+44,1.9094,0.92502,5.3723e+43,-5.9749e+42,1.9466e+43,7.0884e+43,16.83
3,0.2,2,0.6,3.4905e+44,1.9409,0.93651,5.6487e+43,-6.5572e+42,1.9973e+43,6.9659e+43,16.83
3,0.2,2,0.8,3.6642e+44,2.0021,0.9579,6.1611e+43,-7.1793e+42,2.1608e+43,6.746e+43,16.335
3,0.2,3,0.1,1.936e+44,1.5058,0.66064,8.89e+42,-1.912e+42,8.0435e+42,8.7287e+43,23.265
3,0.2,3,0.3,2.066e+44,1.5244,0.68886,1.2187e+43,-2.1186e+42,8.9688e+42,8.7132e+43,22.275
3,0.2,3,0.4,2.1292e+44,1.5359,0.70182,1.4323e+43,-2.2111e+42,9.4556e+42,8.648e+43,21.78
3,0.2,3,0.5,2.191e+44,1.5483,0.7141,1.6652e+43,-2.5003e+42,9.7278e+42,8.5582e+43,21.78
3,0.2,3,0.6,2.2519e+44,1.5614,0.72576,1.6963e+43,-2.5814e+42,1.0234e+43,8.6654e+43,21.285
3,0.2,3,0.8,2.3699e+44,1.5891,0.74747,2.1326e+43,-2.9404e+42,1.1029e+43,8.4928e+43,20.79
3,0.2,5,0.1,1.0842e+44,1.8001,0.41114,-3.4577e+42,-5.442e+41,3.3209e+42,7.4397e+43,31.68
3,0.2,5,0.3,1.1596e+44,1.7081,0.43465,-3.2771e+42,-5.9358e+41,3.7281e+42,7.7112e+43,30.195
3,0.2,5,0.4,1.1965e+44,1.6745,0.44585,-2.8981e+42,-6.4432e+41,3.9113e+42,7.8091e+43,29.7
3,0.2,5,0.5,1.2328e+44,1.6469,0.45666,-2.2198e+42,-6.944e+41,4.0988e+42,7.8717e+43,29.205
3,0.2,5,0.6,1.2685e+44,1.6243,0.4671,-2.2131e+42,-7.4301e+41,4.2911e+42,7.9966e+43,28.71
3,0.2,5,0.8,1.3384e+44,1.5902,0.48694,-1.259e+42,-8.3342e+41,4.6915e+42,8.1397e+43,27.72
3,0.2,7,0.1,7.3227e+43,3.3436,0.30346,-3.7617e+42,-2.179e+41,1.8442e+42,5.8433e+43,38.61
3,0.2,7,0.3,7.8393e+43,2.9433,0.31677,-3.7874e+42,-2.5358e+41,2.0538e+42,6.1211e+43,37.125
3,0.2,7,0.4,8.0925e+43,2.7779,0.32362,-3.7199e+42,-2.8468e+41,2.1489e+42,6.2437e+43,36.63
3,0.2,7,0.5,8.3419e+43,2.6335,0.33051,-3.6651e+42,-2.8902e+41,2.2773e+42,6.3626e+43,35.64
3,0.2,7,0.6,8.588e+43,2.5077,0.33739,-3.6286e+42,-3.1979e+41,2.3778e+42,6.4788e+43,35.145
3,0.2,7,0.8,9.071e+43,2.3022,0.35109,-3.6232e+42,-3.4828e+41,2.6238e+42,6.7058e+43,33.66
3,0.2,10,0.1,4.7911e+43,5.8251,0.26689,-3.2484e+42,-9.1112e+40,9.6203e+41,4.2012e+43,48.51
3,0.2,10,0.3,5.1324e+43,5.5854,0.2687,-3.2267e+42,-1.0494e+41,1.0746e+42,4.437e+43,46.53
3,0.2,10,0.4,5.2998e+43,5.4416,0.27003,-3.3293e+42,-1.1198e+41,1.134e+42,4.5606e+43,45.54
3,0.2,10,0.5,5.4649e+43,5.2868,0.27162,-3.3311e+42,-1.1863e+41,1.1955e+42,4.6703e+43,44.55
3,0.2,10,0.6,5.6278e+43,5.1242,0.27346,-3.3658e+42,-1.2463e+41,1.2594e+42,4.78e+43,43.56
3,0.2,10,0.8,5.9483e+43,4.7872,0.27777,-3.4721e+42,-1.4736e+41,1.3785e+42,4.9937e+43,42.075
5.5,0.2,0.4,0.1,1.0066e+45,7.2801,2.0312,1.1182e+44,-7.3924e+43,1.3774e+44,1.4434e+43,5.445
5.5,0.2,0.4,0.3,1.0674e+45,7.5693,2.0682,1.1541e+44,-8.092e+43,1.4502e+44,1.4428e+43,5.445
5.5,0.2,0.4,0.4,1.0961e+45,7.7088,2.0856,1.1704e+44,-8.1607e+43,1.6491e+44,1.4428e+43,4.95
5.5,0.2,0.4,0.5,1.1253e+45,7.8439,2.1021,1.1857e+44,-8.4985e+43,1.6887e+44,1.4429e+43,4.95
5.5,0.2,0.4,0.6,1.1535e+45,7.9747,2.1179,1.2002e+44,-8.8238e+43,1.7266e+44,1.4431e+43,4.95
5.5,0.2,0.4,0.8,1.2068e+45,8.2235,2.1472,1.227e+44,-9.4377e+43,1.7971e+44,1.4439e+43,4.95
5.5,0.2,0.5,0.1,7.8883e+44,6.0667,1.8689,9.9631e+43,-4.9846e+43,1.0209e+44,1.4684e+43,5.94
5.5,0.2,0.5,0.3,8.3982e+44,6.3167,1.9049,1.031e+44,-5.5618e+43,1.0818e+44,1.4668e+43,5.94
5.5,0.2,0.5,0.4,8.6408e+44,6.4376,1.9217,1.0468e+44,-5.8404e+43,1.1107e+44,1.4662e+43,5.94
5.5,0.2,0.5,0.5,8.8748e+44,6.555,1.9378,1.0618e+44,-6.1107e+43,1.1383e+44,1.4659e+43,5.94
5.5,0.2,0.5,0.6,9.1004e+44,6.6688,1.9531,1.076e+44,-6.3725e+43,1.1648e+44,1.4658e+43,5.94
