B,p10,MinitMniintmax_LC,skew,CV_LC,mad,
15,0.2,0.9,0.7,1.1254e+44,3.6035,1.5539,2.0485e+43
15,0.2,1.0,0.1,8.938e+43,3.3344,1.4929,1.7017e+43
15,0.2,1.0,0.2,9.1688e+43,3.3413,1.4951,1.7435e+43
15,0.2,1.0,0.3,9.4009e+43,3.35,1.4973,1.7854e+43
15,0.2,1.0,0.4,9.6379e+43,3.3603,1.4995,1.8272e+43
15,0.2,1.0,0.5,9.8803e+43,3.3719,1.5018,1.8691e+43
15,0.2,1.0,0.6,1.0123e+44,3.3844,1.504,1.911e+43
15,0.2,1.0,0.7,1.0367e+44,3.3978,1.5063,1.9528e+43
15,0.2,1.1,0.1,8.2447e+43,3.1455,1.4474,1.6183e+43
15,0.2,1.1,0.2,8.4645e+43,3.1551,1.4502,1.6594e+43
15,0.2,1.1,0.3,8.6922e+43,3.1664,1.4529,1.7005e+43
15,0.2,1.1,0.4,8.92e+43,3.1791,1.4557,1.7417e+43
15,0.2,1.1,0.5,9.1547e+43,3.193,1.4584,1.7828e+43
15,0.2,1.1,0.6,9.3913e+43,3.2077,1.4611,1.824e+43
15,0.2,1.1,0.7,9.6278e+43,3.2231,1.4638,1.8651e+43
15,0.2,1.2,0.1,7.656e+43,2.9827,1.4064,1.5406e+43
15,0.2,1.2,0.2,7.8706e+43,2.9946,1.4097,1.5811e+43
15,0.2,1.2,0.3,8.0902e+43,3.0082,1.4129,1.6215e+43
15,0.2,1.2,0.4,8.3139e+43,3.023,1.4161,1.6619e+43
15,0.2,1.2,0.5,8.5376e+43,3.0389,1.4193,1.7024e+43
15,0.2,1.2,0.6,8.7686e+43,3.0555,1.4224,1.7428e+43
15,0.2,1.2,0.7,8.9998e+43,3.0726,1.4255,1.7833e+43
15,0.2,1.3,0.1,7.1507e+43,2.8408,1.3691,1.4673e+43
15,0.2,1.3,0.2,7.3609e+43,2.8548,1.3728,1.5071e+43
15,0.2,1.3,0.3,7.5729e+43,2.8704,1.3765,1.5468e+43
15,0.2,1.3,0.4,7.791e+43,2.8871,1.3801,1.5866e+43
15,0.2,1.3,0.5,8.0108e+43,2.9047,1.3837,1.6264e+43
15,0.2,1.3,0.6,8.2307e+43,2.9229,1.3872,1.6662e+43
15,0.2,1.3,0.7,8.4568e+43,2.9416,1.3907,1.7059e+43
20,0.2,0.8,0.1,7.1425e+43,3.8858,1.6336,1.2463e+43
20,0.2,0.8,0.2,7.38e+43,3.8765,1.6332,1.2896e+43
20,0.2,0.8,0.3,7.6222e+43,3.8734,1.6332,1.333e+43
20,0.2,0.8,0.4,7.8778e+43,3.8752,1.6334,1.3764e+43
20,0.2,0.8,0.5,8.134e+43,3.8809,1.6339,1.4198e+43
20,0.2,0.8,0.6,8.3977e+43,3.8896,1.6346,1.4632e+43
20,0.2,0.8,0.7,8.6654e+43,3.9007,1.6354,1.5066e+43
20,0.2,0.9,0.1,6.4575e+43,3.6165,1.5747,1.1791e+43
20,0.2,0.9,0.2,6.6856e+43,3.613,1.5754,1.2217e+43
20,0.2,0.9,0.3,6.9224e+43,3.6153,1.5763,1.2643e+43
20,0.2,0.9,0.4,7.1675e+43,3.6222,1.5775,1.3069e+43
20,0.2,0.9,0.5,7.4162e+43,3.6326,1.5789,1.3496e+43
20,0.2,0.9,0.6,7.6691e+43,3.6457,1.5804,1.3922e+43
20,0.2,0.9,0.7,7.9278e+43,3.6609,1.5821,1.4348e+43
20,0.2,1.0,0.1,5.899e+43,3.3913,1.5228,1.1194e+43
20,0.2,1.0,0.2,6.1191e+43,3.3927,1.5245,1.1613e+43
20,0.2,1.0,0.3,6.3512e+43,3.3997,1.5264,1.2031e+43
20,0.2,1.0,0.4,6.5868e+43,3.411,1.5285,1.245e+43
20,0.2,1.0,0.5,6.8291e+43,3.4255,1.5306,1.2869e+43
20,0.2,1.0,0.6,7.0717e+43,3.4424,1.5329,1.3287e+43
20,0.2,1.0,0.7,7.3224e+43,3.461,1.5352,1.3706e+43
20,0.2,1.1,0.1,5.4346e+43,3.1997,1.4767,1.0651e+43
20,0.2,1.1,0.2,5.6511e+43,3.2056,1.4792,1.1062e+43
20,0.2,1.1,0.3,5.8749e+43,3.2167,1.4819,1.1474e+43
20,0.2,1.1,0.4,6.1026e+43,3.2318,1.4848,1.1885e+43
20,0.2,1.1,0.5,6.3383e+43,3.2498,1.4877,1.2296e+43
20,0.2,1.1,0.6,6.5748e+43,3.2698,1.4906,1.2708e+43
20,0.2,1.1,0.7,6.8147e+43,3.2913,1.4936,1.3119e+43
20,0.2,1.2,0.1,5.0446e+43,3.0346,1.4351,1.0147e+43
20,0.2,1.2,0.2,5.2543e+43,3.0444,1.4384,1.0551e+43
20,0.2,1.2,0.3,5.4705e+43,3.0592,1.4419,1.0956e+43
20,0.2,1.2,0.4,5.6942e+43,3.0776,1.4454,1.136e+43
20,0.2,1.2,0.5,5.9206e+43,3.0986,1.449,1.1764e+43
20,0.2,1.2,0.6,6.1518e+43,3.1213,1.4525,1.2169e+43
20,0.2,1.2,0.7,6.383e+43,3.1452,1.4561,1.2573e+43
20,0.2,1.3,0.1,4.7089e+43,2.8908,1.3972,9.6724e+42
20,0.2,1.3,0.2,4.9126e+43,2.9041,1.4013,1.007e+43
20,0.2,1.3,0.3,5.1247e+43,2.9221,1.4055,1.0468e+43
20,0.2,1.3,0.4,5.3419e+43,2.9434,1.4096,1.0865e+43
20,0.2,1.3,0.5,5.5617e+43,2.967,1.4138,1.1263e+43
20,0.2,1.3,0.6,5.7859e+43,2.992,1.4179,1.1661e+43
20,0.2,1.3,0.7,6.012e+43,3.018,1.422,1.2059e+43
50,0.2,0.8,0.1,1.8086e+43,4.0232,1.7003,3.1123e+42
50,0.2,0.8,0.2,2.0544e+43,3.9767,1.689,3.5461e+42
50,0.2,0.8,0.3,2.3197e+43,4.0009,1.684,3.9799e+42
50,0.2,0.8,0.4,2.5952e+43,4.0531,1.6825,4.4137e+42
50,0.2,0.8,0.5,2.8741e+43,4.1141,1.683,4.8476e+42
50,0.2,0.8,0.6,3.1578e+43,4.1756,1.6846,5.2814e+42
50,0.2,0.8,0.7,3.4414e+43,4.2337,1.6868,5.7152e+42
50,0.2,0.9,0.1,1.6382e+43,3.7554,1.642,2.9495e+42
50,0.2,0.9,0.2,1.877e+43,3.7334,1.6346,3.3756e+42
50,0.2,0.9,0.3,2.1332e+43,3.7752,1.6329,3.8016e+42
50,0.2,0.9,0.4,2.3981e+43,3.8392,1.634,4.2277e+42
50,0.2,0.9,0.5,2.6657e+43,3.9081,1.6365,4.6538e+42
50,0.2,0.9,0.6,2.9377e+43,3.9744,1.6397,5.0799e+42
50,0.2,0.9,0.7,3.2097e+43,4.0355,1.6432,5.506e+42
50,0.2,1.0,0.1,1.4997e+43,3.5325,1.5909,2.8059e+42
50,0.2,1.0,0.2,1.732e+43,3.5312,1.5871,3.2245e+42
50,0.2,1.0,0.3,1.9799e+43,3.5874,1.5882,3.6431e+42
50,0.2,1.0,0.4,2.235e+43,3.6607,1.5915,4.0617e+42
50,0.2,1.0,0.5,2.4922e+43,3.7352,1.5958,4.4802e+42
50,0.2,1.0,0.6,2.7537e+43,3.8049,1.6004,4.8988e+42
50,0.2,1.0,0.7,3.0155e+43,3.8679,1.6051,5.3174e+42
50,0.2,1.1,0.1,1.3846e+43,3.3435,1.5455,2.6764e+42
50,0.2,1.1,0.2,1.6108e+43,3.3602,1.545,3.0878e+42
50,0.2,1.1,0.3,1.851e+43,3.4283,1.5486,3.4991e+42
50,0.2,1.1,0.4,2.097e+43,3.5088,1.5538,3.9105e+42
50,0.2,1.1,0.5,2.346e+43,3.5875,1.5597,4.3219e+42
50,0.2,1.1,0.6,2.5965e+43,3.6594,1.5655,4.7332e+42
50,0.2,1.1,0.7,2.8492e+43,3.7235,1.5712,5.1446e+42
50,0.2,1.2,0.1,1.2879e+43,3.1812,1.5048,2.5576e+42
50,0.2,1.2,0.2,1.5076e+43,3.2134,1.5072,2.962e+42
50,0.2,1.2,0.3,1.7407e+43,3.2912,1.513,3.3664e+42
50,0.2,1.2,0.4,1.9781e+43,3.3775,1.52,3.7708e+42
50,0.2,1.2,0.5,2.2196e+43,3.4592,1.5272,4.1752e+42
50,0.2,1.2,0.6,2.4611e+43,3.5326,1.5341,4.5796e+42
50,0.2,1.2,0.7,2.7044e+43,3.5972,1.5406,4.984e+42
50,0.2,1.3,0.1,1.2051e+43,3.04,1.4678,2.4469e+42
50,0.2,1.3,0.2,1.4191e+43,3.0857,1.473,2.8446e+42
50,0.2,1.3,0.3,1.6447e+43,3.1717,1.4808,3.2423e+42
50,0.2,1.3,0.4,1.8757e+43,3.2625,1.4894,3.64e+42
50,0.2,1.3,0.5,2.1087e+43,3.3464,1.4977,4.0377e+42
50,0.2,1.3,0.6,2.3432e+43,3.4207,1.5056,4.4354e+42
50,0.2,1.3,0.7,2.5777e+43,3.4854,1.5128,4.8331e+42
0.5,0.6,0.8,0.1,8.7032e+42,10.026,0.23744,-4.3322e+41
0.5,0.6,0.8,0.2,9.5208e+42,12.405,0.20801,-1.9084e+41
0.5,0.6,0.8,0.3,1.2077e+43,7.9074,0.22933,1.8836e+41
0.5,0.6,0.8,0.4,1.4836e+43,5.2489,0.27854,5.8904e+41
0.5,0.6,0.8,0.5,1.7663e+43,4.6625,0.33684,1.0158e+42
0.5,0.6,0.8,0.6,2.0505e+43,4.6385,0.39599,1.4411e+42
0.5,0.6,0.8,0.7,2.3382e+43,4.7158,0.45294,1.8648e+42
0.5,0.6,0.9,0.1,8.6243e+42,9.3443,0.24568,-4.7566e+41
0.5,0.6,0.9,0.2,9.1918e+42,12.564,0.2106,-2.7392e+41
0.5,0.6,0.9,0.3,1.1603e+43,8.7218,0.2248,9.8997e+40
0.5,0.6,0.9,0.4,1.4233e+43,5.5521,0.26886,4.933e+41
0.5,0.6,0.9,0.5,1.6927e+43,4.6629,0.32391,8.9814e+41
0.5,0.6,0.9,0.6,1.9639e+43,4.5293,0.38086,1.3161e+42
0.5,0.6,0.9,0.7,2.2384e+43,4.5661,0.4362,1.7498e+42
0.5,0.6,1.0,0.1,8.5577e+42,8.7282,0.25362,-5.1374e+41
0.5,0.6,1.0,0.2,8.904e+42,12.51,0.21383,-3.3937e+41
0.5,0.6,1.0,0.3,1.1185e+43,9.4951,0.22159,1.4896e+40
0.5,0.6,1.0,0.4,1.3699e+43,5.9322,0.26068,4.032e+41
0.5,0.6,1.0,0.5,1.6276e+43,4.7202,0.31254,8.0201e+41
0.5,0.6,1.0,0.6,1.8875e+43,4.4593,0.36736,1.2139e+42
0.5,0.6,1.0,0.7,2.1503e+43,4.4477,0.42117,1.6239e+42
0.5,0.6,1.1,0.1,8.4998e+42,8.1751,0.26127,-5.5941e+41
0.5,0.6,1.1,0.2,8.6823e+42,12.301,0.21754,-3.88e+41
0.5,0.6,1.1,0.3,1.0814e+43,10.189,0.21946,-6.4438e+40
0.5,0.6,1.1,0.4,1.3221e+43,6.3722,0.25378,3.1828e+41
0.5,0.6,1.1,0.5,1.5694e+43,4.8289,0.30249,7.1147e+41
0.5,0.6,1.1,0.6,1.8194e+43,4.424,0.35524,1.1176e+42
0.5,0.6,1.1,0.7,2.0714e+43,4.356,0.40756,1.522e+42
0.5,0.6,1.2,0.1,8.4484e+42,7.6795,0.26864,-5.9878e+41
0.5,0.6,1.2,0.2,8.5946e+42,11.984,0.22158,-4.4548e+41
0.5,0.6,1.2,0.3,1.0478e+43,10.779,0.21824,-1.3941e+41
0.5,0.6,1.2,0.4,1.2789e+43,6.8547,0.24797,2.2368e+41
0.5,0.6,1.2,0.5,1.5168e+43,4.9844,0.2936,6.1066e+41
0.5,0.6,1.2,0.6,1.7578e+43,4.4205,0.3443,1.0105e+42
0.5,0.6,1.2,0.7,2e+43,4.2876,0.39517,1.4086e+42
0.5,0.6,1.3,0.1,8.4022e+42,7.235,0.27574,-6.3772e+41
0.5,0.6,1.3,0.2,8.5229e+42,11.599,0.22586,-4.8727e+41
0.5,0.6,1.3,0.3,1.0173e+43,11.252,0.21778,-2.1034e+41
0.5,0.6,1.3,0.4,1.2396e+43,7.3626,0.24311,1.4823e+41
0.5,0.6,1.3,0.5,1.4688e+43,5.1821,0.28571,5.3049e+41
0.5,0.6,1.3,0.6,1.7017e+43,4.4463,0.33438,9.2545e+41
0.5,0.6,1.3,0.7,1.935e+43,4.2401,0.38384,1.3186e+42
5.5,0.6,0.8,0.1,9.3353e+43,2.8049,1.0624,1.5178e+43
5.5,0.6,0.8,0.2,9.5797e+43,2.8309,1.0706,1.5616e+43
5.5,0.6,0.8,0.3,9.8241e+43,2.8578,1.0787,1.6053e+43
5.5,0.6,0.8,0.4,1.0073e+44,2.8852,1.0867,1.6448e+43
5.5,0.6,0.8,0.5,1.0327e+44,2.9131,1.0946,1.6678e+43
5.5,0.6,0.8,0.6,1.0581e+44,2.9413,1.1024,1.7115e+43
5.5,0.6,0.8,0.7,1.0837e+44,2.9696,1.1101,1.7552e+43
